customer_id,customer_age,customer_region,customer_tenure_months,order_id,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,nps_score,repeat_purchase_30d,complaints_count,csat_internal_score,had_delivery_delay,had_customer_service_contact,had_complaint,inconsistency_reason
6,35,Sudeste,75,50006,568.76,6,36.58,3,4,5,41.82,2,2,3,0.9,0,5,1.5,1,1,1,atraso_maior_que_tempo_entrega
7,37,Sudeste,68,50007,41.29,3,99.62,6,8,3,35.83,3,3,4,1.4,0,6,0.6,1,1,1,desconto_maior_que_pedido
19,43,Sul,86,50019,383.98,3,33.61,11,3,4,25.24,2,2,3,3.4,0,4,2.0,1,1,1,atraso_maior_que_tempo_entrega
42,48,Centro-Oeste,15,50042,117.97,2,28.35,5,2,3,28.02,2,2,11,1.8,0,6,0.0,1,1,1,atraso_maior_que_tempo_entrega
47,58,Sudeste,33,50047,461.42,3,27.91,3,4,6,45.25,2,1,0,2.3,0,5,2.5,1,1,1,atraso_maior_que_tempo_entrega
58,54,Sul,101,50058,86.15,2,112.42,11,10,3,36.23,3,1,0,8.4,1,2,5.5,1,1,1,desconto_maior_que_pedido
59,33,Sul,108,50059,385.42,5,13.86,2,2,3,52.49,2,3,2,3.1,0,5,3.0,1,1,1,atraso_maior_que_tempo_entrega
62,62,Norte,81,50062,42.28,1,39.12,9,3,4,47.8,3,1,11,0.0,0,5,0.0,1,1,1,atraso_maior_que_tempo_entrega
72,29,Sudeste,80,50072,212.03,1,66.52,6,2,6,42.64,1,1,3,0.0,0,4,0.8,1,1,1,atraso_maior_que_tempo_entrega
114,56,Nordeste,36,50114,645.84,1,73.53,6,3,4,45.49,2,4,10,0.3,0,7,0.0,1,1,1,atraso_maior_que_tempo_entrega
117,28,Centro-Oeste,38,50117,60.96,2,95.06,4,9,0,30.19,2,0,7,7.8,0,1,5.2,0,0,1,desconto_maior_que_pedido
153,31,Sudeste,119,50153,1064.25,2,15.38,1,2,3,26.74,2,0,9,5.5,0,3,1.6,1,0,1,atraso_maior_que_tempo_entrega
183,41,Sudeste,104,50183,24.0,6,85.49,10,5,2,29.58,3,0,9,4.0,0,4,1.4,1,0,1,desconto_maior_que_pedido
185,21,Nordeste,51,50185,1317.9,3,71.03,5,3,5,57.79,1,1,2,3.9,0,4,2.6,1,1,1,atraso_maior_que_tempo_entrega
194,20,Sul,106,50194,594.58,2,33.9,11,2,3,15.49,2,2,7,4.1,0,4,1.5,1,1,1,atraso_maior_que_tempo_entrega
199,36,Nordeste,25,50199,557.64,6,3.34,3,2,5,41.44,2,3,5,0.0,0,7,0.0,1,1,1,atraso_maior_que_tempo_entrega
207,46,Sudeste,116,50207,461.97,4,6.07,4,2,3,48.09,2,1,9,3.7,0,4,0.8,1,1,1,atraso_maior_que_tempo_entrega
