customer_id,order_id,customer_age,age_group,customer_region,customer_tenure_months,tenure_group,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,had_delivery_delay,delivery_delay_ratio,freight_value,freight_exceeds_order_value,delivery_attempts,customer_service_contacts,had_customer_service_contact,resolution_time_days,complaints_count,had_complaint,repeat_purchase_30d,csat_internal_score,nps_score,nps_category
1,50001,63,55 a 64 anos,Nordeste,14,13 a 24 meses,139.73,4,39.35,4,2,2,1,1.0,55.53,0,3,0,0,4,3,1,0,6.5,6.9,Detrator
2,50002,20,Até 24 anos,Sul,1,Até 12 meses,458.95,2,9.51,10,6,4,1,0.6666666666666666,28.23,0,3,0,0,10,3,1,0,0.0,2.4,Detrator
3,50003,46,45 a 54 anos,Nordeste,111,Mais de 72 meses,507.06,5,42.82,6,6,1,1,0.16666666666666666,40.99,0,1,4,1,5,7,1,0,1.5,4.8,Detrator
4,50004,52,45 a 54 anos,Centro-Oeste,117,Mais de 72 meses,302.19,2,19.58,9,5,2,1,0.4,35.24,0,3,1,1,11,4,1,0,0.3,5.9,Detrator
5,50005,56,55 a 64 anos,Norte,50,49 a 72 meses,253.06,1,29.37,11,13,1,1,0.07692307692307693,39.32,0,1,1,1,0,3,1,0,7.9,6.1,Detrator
8,50008,60,55 a 64 anos,Sul,37,25 a 48 meses,428.76,4,29.54,10,11,5,1,0.45454545454545453,44.5,0,1,0,0,2,2,1,0,4.1,0.0,Detrator
9,50009,40,35 a 44 anos,Sul,60,49 a 72 meses,121.56,3,91.95,6,6,3,1,0.5,24.88,0,2,1,1,9,3,1,0,0.8,6.2,Detrator
10,50010,51,45 a 54 anos,Sudeste,70,49 a 72 meses,411.01,6,37.47,3,9,2,1,0.2222222222222222,30.59,0,1,0,0,7,2,1,0,4.2,2.7,Detrator
11,50011,50,45 a 54 anos,Centro-Oeste,28,25 a 48 meses,616.17,2,23.0,8,4,2,1,0.5,52.94,0,3,0,0,7,6,1,0,2.7,5.3,Detrator
12,50012,67,65 anos ou mais,Norte,81,Mais de 72 meses,509.48,2,10.42,1,11,1,1,0.09090909090909091,46.92,0,2,1,1,3,2,1,0,5.8,7.0,Neutro
13,50013,65,65 anos ou mais,Centro-Oeste,85,Mais de 72 meses,588.28,6,12.54,5,11,2,1,0.18181818181818182,28.67,0,2,1,1,9,4,1,0,0.4,3.7,Detrator
14,50014,27,25 a 34 anos,Sudeste,42,25 a 48 meses,165.19,5,52.82,5,10,1,1,0.1,63.92,0,3,0,0,8,2,1,0,3.5,2.9,Detrator
15,50015,50,45 a 54 anos,Sudeste,113,Mais de 72 meses,220.81,3,30.73,6,7,3,1,0.42857142857142855,45.96,0,1,1,1,4,3,1,0,2.4,2.7,Detrator
16,50016,64,55 a 64 anos,Norte,114,Mais de 72 meses,732.83,2,13.24,8,9,3,1,0.3333333333333333,46.78,0,2,1,1,8,2,1,0,0.0,6.0,Detrator
17,50017,50,45 a 54 anos,Norte,70,49 a 72 meses,391.66,4,0.25,11,3,2,1,0.6666666666666666,59.78,0,2,1,1,6,4,1,0,2.7,1.9,Detrator
18,50018,65,65 anos ou mais,Sul,21,13 a 24 meses,483.04,1,28.08,1,12,3,1,0.25,44.76,0,2,1,1,10,4,1,0,0.0,4.8,Detrator
20,50020,37,35 a 44 anos,Centro-Oeste,74,Mais de 72 meses,288.93,2,20.8,9,9,2,1,0.2222222222222222,62.02,0,1,1,1,3,4,1,0,5.0,2.0,Detrator
21,50021,32,25 a 34 anos,Sudeste,105,Mais de 72 meses,390.01,2,84.53,8,9,2,1,0.2222222222222222,35.9,0,2,1,1,6,4,1,0,2.6,5.7,Detrator
22,50022,54,45 a 54 anos,Centro-Oeste,68,49 a 72 meses,480.03,3,14.53,1,4,4,1,1.0,47.91,0,1,3,1,8,5,1,0,0.0,0.0,Detrator
23,50023,50,45 a 54 anos,Sul,81,Mais de 72 meses,578.34,3,28.67,5,2,0,0,0.0,38.37,0,1,0,0,2,0,0,1,8.6,10.0,Promotor
24,50024,34,25 a 34 anos,Nordeste,119,Mais de 72 meses,489.49,6,8.44,3,3,3,1,1.0,24.72,0,2,2,1,2,4,1,0,3.2,3.3,Detrator
25,50025,22,Até 24 anos,Norte,20,13 a 24 meses,184.64,5,70.89,3,13,1,1,0.07692307692307693,37.85,0,2,2,1,10,4,1,0,0.5,3.2,Detrator
26,50026,67,65 anos ou mais,Sudeste,79,Mais de 72 meses,100.97,2,31.04,7,6,2,1,0.3333333333333333,33.59,0,2,2,1,0,4,1,0,5.9,5.1,Detrator
27,50027,21,Até 24 anos,Sudeste,26,25 a 48 meses,411.6,5,4.05,1,7,2,1,0.2857142857142857,28.95,0,3,2,1,0,4,1,1,6.3,9.1,Promotor
28,50028,20,Até 24 anos,Nordeste,101,Mais de 72 meses,751.24,4,34.33,5,10,4,1,0.4,41.19,0,3,0,0,6,4,1,0,1.8,5.1,Detrator
29,50029,38,35 a 44 anos,Sudeste,119,Mais de 72 meses,522.15,3,79.0,3,13,5,1,0.38461538461538464,29.29,0,2,1,1,9,3,1,0,0.0,0.3,Detrator
30,50030,57,55 a 64 anos,Sudeste,86,Mais de 72 meses,337.52,2,0.11,2,13,2,1,0.15384615384615385,35.95,0,3,1,1,2,3,1,0,5.4,3.8,Detrator
31,50031,20,Até 24 anos,Nordeste,39,25 a 48 meses,478.48,2,1.91,5,13,1,1,0.07692307692307693,19.27,0,3,2,1,1,5,1,0,6.7,4.2,Detrator
32,50032,38,35 a 44 anos,Sul,71,49 a 72 meses,479.29,3,16.0,6,14,1,1,0.07142857142857142,45.69,0,3,0,0,10,3,1,0,2.0,4.9,Detrator
33,50033,65,65 anos ou mais,Norte,57,49 a 72 meses,385.12,1,5.05,6,13,4,1,0.3076923076923077,43.54,0,2,2,1,5,4,1,0,0.7,0.0,Detrator
34,50034,66,65 anos ou mais,Sul,41,25 a 48 meses,366.75,6,12.65,6,10,3,1,0.3,38.42,0,1,1,1,7,3,1,0,1.8,4.2,Detrator
35,50035,25,25 a 34 anos,Nordeste,16,13 a 24 meses,366.75,4,65.08,8,11,1,1,0.09090909090909091,22.0,0,3,2,1,0,3,1,0,6.3,7.0,Neutro
36,50036,59,55 a 64 anos,Centro-Oeste,106,Mais de 72 meses,348.26,4,4.9,6,14,1,1,0.07142857142857142,31.64,0,1,2,1,1,3,1,0,5.7,6.8,Detrator
37,50037,53,45 a 54 anos,Norte,23,13 a 24 meses,557.8,4,0.31,9,8,5,1,0.625,44.25,0,1,3,1,10,5,1,0,0.0,0.0,Detrator
38,50038,46,45 a 54 anos,Centro-Oeste,3,Até 12 meses,1120.9,4,57.57,5,13,2,1,0.15384615384615385,40.75,0,2,4,1,0,6,1,0,4.0,4.9,Detrator
39,50039,56,55 a 64 anos,Sudeste,119,Mais de 72 meses,448.04,3,21.23,8,11,1,1,0.09090909090909091,28.03,0,3,2,1,8,5,1,0,1.8,4.4,Detrator
40,50040,51,45 a 54 anos,Norte,5,Até 12 meses,109.66,6,5.88,6,14,1,1,0.07142857142857142,33.27,0,3,0,0,11,3,1,0,1.4,4.2,Detrator
41,50041,39,35 a 44 anos,Centro-Oeste,73,Mais de 72 meses,485.01,6,9.19,11,6,3,1,0.5,53.99,0,3,0,0,8,2,1,0,2.1,3.3,Detrator
43,50043,45,45 a 54 anos,Centro-Oeste,26,25 a 48 meses,279.65,4,15.44,6,5,2,1,0.4,52.15,0,3,0,0,4,3,1,0,4.7,5.3,Detrator
44,50044,52,45 a 54 anos,Sudeste,14,13 a 24 meses,477.19,4,15.71,3,4,0,0,0.0,53.94,0,3,1,1,2,4,1,0,7.6,5.6,Detrator
45,50045,51,45 a 54 anos,Norte,42,25 a 48 meses,144.56,1,15.57,11,14,2,1,0.14285714285714285,46.54,0,3,1,1,3,3,1,0,4.5,2.6,Detrator
46,50046,30,25 a 34 anos,Sul,114,Mais de 72 meses,349.17,3,12.78,11,12,1,1,0.08333333333333333,28.64,0,2,1,1,7,4,1,0,3.1,4.5,Detrator
48,50048,21,Até 24 anos,Norte,26,25 a 48 meses,431.62,5,15.21,1,9,3,1,0.3333333333333333,45.21,0,2,3,1,5,6,1,0,0.7,3.4,Detrator
49,50049,60,55 a 64 anos,Centro-Oeste,67,49 a 72 meses,663.31,6,37.22,10,6,4,1,0.6666666666666666,45.09,0,1,2,1,9,6,1,0,0.0,0.7,Detrator
50,50050,23,Até 24 anos,Nordeste,20,13 a 24 meses,370.76,6,15.12,2,10,1,1,0.1,28.55,0,3,1,1,8,2,1,0,2.3,6.6,Detrator
51,50051,18,Até 24 anos,Nordeste,19,13 a 24 meses,375.57,5,13.63,11,8,4,1,0.5,56.09,0,1,1,1,4,5,1,0,1.9,0.6,Detrator
52,50052,29,25 a 34 anos,Sudeste,39,25 a 48 meses,711.22,6,4.92,2,2,1,1,0.5,28.2,0,1,3,1,2,6,1,0,5.8,4.5,Detrator
53,50053,52,45 a 54 anos,Sul,49,49 a 72 meses,1220.13,4,8.98,8,2,1,1,0.5,47.14,0,1,1,1,2,3,1,0,5.8,4.8,Detrator
54,50054,28,25 a 34 anos,Sul,69,49 a 72 meses,329.96,1,37.51,8,4,1,1,0.25,41.91,0,3,2,1,4,5,1,0,3.7,3.9,Detrator
55,50055,40,35 a 44 anos,Norte,95,Mais de 72 meses,398.94,2,5.22,7,2,2,1,1.0,67.63,0,3,0,0,1,3,1,0,6.9,5.8,Detrator
56,50056,31,25 a 34 anos,Nordeste,20,13 a 24 meses,409.54,6,0.82,4,8,3,1,0.375,45.69,0,3,1,1,6,5,1,0,1.8,4.0,Detrator
57,50057,36,35 a 44 anos,Centro-Oeste,109,Mais de 72 meses,285.91,4,82.01,3,5,1,1,0.2,34.0,0,1,7,1,9,11,1,0,0.0,0.4,Detrator
