customer_id,customer_age,customer_region,customer_tenure_months,order_id,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,nps_score,repeat_purchase_30d,complaints_count,csat_internal_score,had_delivery_delay,had_customer_service_contact,had_complaint,inconsistency_reason
1,63,Nordeste,14,50001,139.73,4,39.35,4,2,2,55.53,3,0,4,6.9,0,3,6.5,1,0,1,atraso_maior_que_tempo_entrega
6,35,Sudeste,75,50006,568.76,6,36.58,3,4,5,41.82,2,2,3,0.9,0,5,1.5,1,1,1,atraso_maior_que_tempo_entrega
7,37,Sudeste,68,50007,41.29,3,99.62,6,8,3,35.83,3,3,4,1.4,0,6,0.6,1,1,1,desconto_maior_que_pedido
19,43,Sul,86,50019,383.98,3,33.61,11,3,4,25.24,2,2,3,3.4,0,4,2.0,1,1,1,atraso_maior_que_tempo_entrega
22,54,Centro-Oeste,68,50022,480.03,3,14.53,1,4,4,47.91,1,3,8,0.0,0,5,0.0,1,1,1,atraso_maior_que_tempo_entrega
24,34,Nordeste,119,50024,489.49,6,8.44,3,3,3,24.72,2,2,2,3.3,0,4,3.2,1,1,1,atraso_maior_que_tempo_entrega
42,48,Centro-Oeste,15,50042,117.97,2,28.35,5,2,3,28.02,2,2,11,1.8,0,6,0.0,1,1,1,atraso_maior_que_tempo_entrega
47,58,Sudeste,33,50047,461.42,3,27.91,3,4,6,45.25,2,1,0,2.3,0,5,2.5,1,1,1,atraso_maior_que_tempo_entrega
55,40,Norte,95,50055,398.94,2,5.22,7,2,2,67.63,3,0,1,5.8,0,3,6.9,1,0,1,atraso_maior_que_tempo_entrega
58,54,Sul,101,50058,86.15,2,112.42,11,10,3,36.23,3,1,0,8.4,1,2,5.5,1,1,1,desconto_maior_que_pedido
59,33,Sul,108,50059,385.42,5,13.86,2,2,3,52.49,2,3,2,3.1,0,5,3.0,1,1,1,atraso_maior_que_tempo_entrega
62,62,Norte,81,50062,42.28,1,39.12,9,3,4,47.8,3,1,11,0.0,0,5,0.0,1,1,1,atraso_maior_que_tempo_entrega
65,63,Norte,64,50065,522.84,2,76.14,3,3,3,19.72,1,3,7,3.2,0,6,0.0,1,1,1,atraso_maior_que_tempo_entrega
66,69,Nordeste,53,50066,198.64,2,24.32,5,3,3,57.25,2,3,5,3.9,0,8,0.2,1,1,1,atraso_maior_que_tempo_entrega
72,29,Sudeste,80,50072,212.03,1,66.52,6,2,6,42.64,1,1,3,0.0,0,4,0.8,1,1,1,atraso_maior_que_tempo_entrega
90,67,Sudeste,51,50090,739.57,4,30.17,11,2,2,10.35,2,2,1,4.9,0,5,4.7,1,1,1,atraso_maior_que_tempo_entrega
98,59,Sul,94,50098,411.69,4,67.98,4,4,4,27.55,2,2,8,1.6,0,5,0.0,1,1,1,atraso_maior_que_tempo_entrega
114,56,Nordeste,36,50114,645.84,1,73.53,6,3,4,45.49,2,4,10,0.3,0,7,0.0,1,1,1,atraso_maior_que_tempo_entrega
115,35,Centro-Oeste,71,50115,96.54,3,28.25,2,2,2,56.28,1,2,3,2.4,0,5,4.5,1,1,1,atraso_maior_que_tempo_entrega
117,28,Centro-Oeste,38,50117,60.96,2,95.06,4,9,0,30.19,2,0,7,7.8,0,1,5.2,0,0,1,desconto_maior_que_pedido
128,64,Nordeste,83,50128,648.2,3,23.63,6,2,2,32.87,1,3,2,6.0,0,4,4.2,1,1,1,atraso_maior_que_tempo_entrega
144,19,Sudeste,16,50144,1054.32,6,6.6,9,2,2,32.39,3,5,2,4.1,0,7,2.5,1,1,1,atraso_maior_que_tempo_entrega
145,30,Centro-Oeste,74,50145,718.63,4,19.52,5,4,4,40.7,1,5,1,0.4,0,7,0.3,1,1,1,atraso_maior_que_tempo_entrega
153,31,Sudeste,119,50153,1064.25,2,15.38,1,2,3,26.74,2,0,9,5.5,0,3,1.6,1,0,1,atraso_maior_que_tempo_entrega
157,54,Sudeste,34,50157,348.1,1,26.64,5,4,4,31.63,2,2,10,1.6,0,6,0.0,1,1,1,atraso_maior_que_tempo_entrega
176,67,Sudeste,32,50176,411.16,4,7.72,2,2,2,41.54,2,2,10,1.5,0,5,0.0,1,1,1,atraso_maior_que_tempo_entrega
183,41,Sudeste,104,50183,24.0,6,85.49,10,5,2,29.58,3,0,9,4.0,0,4,1.4,1,0,1,desconto_maior_que_pedido
185,21,Nordeste,51,50185,1317.9,3,71.03,5,3,5,57.79,1,1,2,3.9,0,4,2.6,1,1,1,atraso_maior_que_tempo_entrega
194,20,Sul,106,50194,594.58,2,33.9,11,2,3,15.49,2,2,7,4.1,0,4,1.5,1,1,1,atraso_maior_que_tempo_entrega
199,36,Nordeste,25,50199,557.64,6,3.34,3,2,5,41.44,2,3,5,0.0,0,7,0.0,1,1,1,atraso_maior_que_tempo_entrega
207,46,Sudeste,116,50207,461.97,4,6.07,4,2,3,48.09,2,1,9,3.7,0,4,0.8,1,1,1,atraso_maior_que_tempo_entrega
213,43,Centro-Oeste,75,50213,869.54,4,21.59,8,2,3,57.59,3,0,11,2.8,0,2,0.4,1,0,1,atraso_maior_que_tempo_entrega
221,41,Sul,78,50221,780.75,2,67.15,7,2,3,64.47,2,0,4,5.2,0,3,3.7,1,0,1,atraso_maior_que_tempo_entrega
228,20,Nordeste,95,50228,418.82,1,17.33,7,2,2,47.46,3,3,3,5.8,0,5,2.4,1,1,1,atraso_maior_que_tempo_entrega
237,54,Sul,65,50237,254.25,6,38.4,3,2,2,42.91,2,0,6,7.3,0,2,4.5,1,0,1,atraso_maior_que_tempo_entrega
245,67,Sudeste,117,50245,496.5,5,36.04,9,2,2,26.77,1,0,8,8.8,1,1,2.0,1,0,1,atraso_maior_que_tempo_entrega
250,20,Norte,117,50250,811.98,6,45.07,2,2,2,36.62,1,0,5,5.2,0,5,3.5,1,0,1,atraso_maior_que_tempo_entrega
260,25,Sudeste,28,50260,189.76,3,39.8,4,2,2,27.94,2,1,5,5.6,0,3,3.1,1,1,1,atraso_maior_que_tempo_entrega
269,27,Nordeste,59,50269,1372.36,3,49.19,6,2,4,39.96,3,1,11,4.0,0,4,0.0,1,1,1,atraso_maior_que_tempo_entrega
271,59,Nordeste,80,50271,79.93,2,129.11,6,2,4,27.59,1,1,1,1.1,0,3,4.8,1,1,1,atraso_maior_que_tempo_entrega; desconto_maior_que_pedido
274,58,Norte,11,50274,47.07,1,50.24,3,7,2,32.58,1,1,11,4.4,0,4,0.0,1,1,1,desconto_maior_que_pedido
277,68,Centro-Oeste,30,50277,122.91,4,29.2,8,2,2,44.45,3,2,11,0.5,0,4,0.0,1,1,1,atraso_maior_que_tempo_entrega
278,54,Sudeste,69,50278,214.21,5,9.15,4,4,4,47.49,2,2,7,2.3,0,7,0.0,1,1,1,atraso_maior_que_tempo_entrega
289,41,Sudeste,82,50289,1273.41,3,0.27,4,2,5,17.28,2,0,2,2.7,0,3,3.5,1,0,1,atraso_maior_que_tempo_entrega
298,64,Centro-Oeste,7,50298,59.81,4,64.05,3,9,1,34.68,2,3,5,0.6,0,5,3.7,1,1,1,desconto_maior_que_pedido
308,19,Centro-Oeste,48,50308,143.79,2,35.31,4,2,4,43.31,1,3,0,4.1,0,7,2.7,1,1,1,atraso_maior_que_tempo_entrega
